aX,aY,aZ,gX,gY,gZ
-0.079,0.026,1.112,5.005,-26.733,-4.944
-0.072,-0.002,1.175,17.639,-31.311,-2.014
-0.056,-0.021,1.249,22.888,-33.752,0.183
-0.042,-0.042,1.287,22.095,-31.189,0.732
-0.017,-0.045,1.302,17.883,-26.123,1.282
-0.005,-0.035,1.295,11.292,-20.325,1.038
0.006,-0.017,1.256,5.127,-13.184,-0.366
-0.011,0.015,1.207,-0.061,-7.629,-2.441
-0.009,0.039,1.134,-3.174,-3.174,-5.432
-0.005,0.045,1.118,-0.671,-1.587,-7.385
-0.012,0.007,1.130,0.854,-4.150,-10.559
-0.017,-0.025,1.136,1.160,-4.456,-12.390
-0.009,-0.044,1.124,2.319,-2.258,-11.719
-0.005,-0.059,1.114,3.113,-0.549,-10.315
-0.003,-0.070,1.083,2.197,1.831,-9.216
-0.000,-0.071,1.021,-2.075,4.333,-8.728
-0.008,-0.068,0.968,-9.033,4.883,-8.850
-0.016,-0.067,0.929,-11.597,3.235,-8.911
-0.023,-0.068,0.911,-8.118,0.122,-8.179
-0.033,-0.081,0.917,-0.305,-4.272,-6.958
-0.035,-0.094,0.921,6.470,-8.667,-5.005
-0.035,-0.088,0.932,8.179,-12.268,-2.441
-0.030,-0.073,0.933,7.568,-14.526,-0.244
-0.020,-0.042,0.940,7.141,-16.418,1.465

0.002,-0.049,0.946,-1.038,-3.723,-1.160
0.000,-0.060,0.951,-0.244,-4.333,-1.404
-0.001,-0.069,0.956,-0.671,-4.395,-1.587
-0.003,-0.073,0.954,-1.404,-3.906,-1.465
-0.003,-0.074,0.946,-2.136,-3.418,-1.221
-0.002,-0.072,0.933,-3.113,-2.869,-1.099
-0.004,-0.063,0.913,-4.089,-2.380,-1.160
-0.010,-0.053,0.894,-4.333,-2.441,-1.038
-0.017,-0.041,0.883,-3.845,-3.418,-0.977
-0.021,-0.036,0.890,-2.014,-5.005,-1.221
-0.026,-0.040,0.922,1.282,-7.202,-1.526
-0.026,-0.057,0.967,5.310,-8.850,-1.892
-0.031,-0.062,0.986,6.958,-9.155,-2.136
-0.037,-0.055,0.996,4.700,-8.118,-2.197
-0.042,-0.069,1.005,2.991,-7.507,-2.136
-0.056,-0.075,1.003,-0.122,-6.409,-2.258
-0.069,-0.065,0.985,-3.845,-5.737,-2.075
-0.073,-0.062,0.985,-3.845,-6.836,-2.441
-0.084,-0.105,1.013,2.075,-9.155,-2.930
-0.085,-0.138,1.048,4.150,-10.498,-2.197
-0.078,-0.150,1.071,0.671,-10.132,-0.916
-0.070,-0.158,1.078,-3.540,-8.728,0.549
-0.061,-0.153,1.068,-6.165,-6.836,2.563
-0.056,-0.125,1.040,-7.324,-5.249,4.456
-0.052,-0.086,1.002,-8.423,-4.211,5.371
-0.045,-0.062,0.968,-9.216,-4.456,5.432
-0.037,-0.056,0.951,-9.094,-5.798,4.761
-0.026,-0.059,0.950,-9.216,-7.141,3.601
-0.016,-0.059,0.953,-10.864,-8.545,2.441
-0.013,-0.074,0.970,-12.573,-9.827,0.732
-0.012,-0.084,0.979,-14.099,-10.986,-1.099
0.011,-0.042,0.982,-20.691,-12.024,-2.991
0.014,0.036,1.026,-26.855,-13.977,-5.371
0.013,0.100,1.108,-25.024,-16.968,-10.376
-0.036,0.187,1.239,-17.212,-20.325,-19.897
-0.153,0.188,1.509,-2.991,-25.513,-32.227
-0.376,-0.019,1.813,18.433,-31.677,-43.945
-0.405,-0.252,2.150,55.847,-38.879,-43.030
-0.393,-0.326,2.736,95.581,-53.650,-33.875
-0.288,-0.473,3.271,138.550,-66.467,-27.710
-0.312,-0.552,3.724,182.922,-54.504,-21.118
-0.248,-0.622,3.863,210.205,-22.644,-12.329
-0.218,-0.575,4.000,220.337,2.197,-2.686
-0.152,-0.484,3.990,226.013,36.255,13.428
-0.135,-0.405,3.662,246.521,85.144,37.231
-0.169,-0.249,3.083,252.319,133.606,63.293
-0.283,-0.231,2.174,234.009,175.476,84.595
-0.299,-0.043,0.965,206.726,200.684,102.417
-0.234,0.209,-0.097,197.266,194.702,109.131
-0.114,0.487,-0.947,222.046,158.386,98.999
0.102,0.708,-1.395,252.686,100.342,72.083
0.312,0.769,-1.237,266.418,35.889,38.025
0.472,0.596,-0.856,255.920,-13.306,8.118
0.578,0.451,-0.550,205.139,-29.419,-9.766
0.567,0.374,-0.531,144.287,-16.785,-16.052
0.444,0.254,-0.718,93.872,4.272,-14.404
0.297,0.134,-1.009,43.762,20.325,-7.751
0.204,0.122,-1.308,-17.578,25.269,-1.160
0.100,0.114,-1.506,-100.342,21.301,1.099
0.015,0.131,-1.487,-214.783,14.099,-2.258
-0.047,0.151,-1.322,-313.721,-0.061,-8.484
-0.123,0.189,-0.981,-373.291,-21.240,-16.418
-0.157,0.171,-0.615,-370.667,-42.175,-21.729
-0.199,0.107,-0.278,-308.411,-57.251,-23.926
-0.236,0.061,0.045,-221.313,-62.134,-23.621
-0.298,0.042,0.320,-140.320,-55.664,-19.409
-0.284,-0.049,0.492,-92.407,-43.701,-15.686
-0.289,-0.148,0.651,-62.622,-37.537,-18.188
-0.319,-0.312,0.769,-42.419,-33.936,-23.926
-0.346,-0.439,0.823,-28.992,-26.062,-19.592
-0.275,-0.437,0.905,-19.897,-20.752,-6.042
-0.193,-0.373,1.021,-13.916,-20.813,2.625
-0.123,-0.313,1.122,-10.315,-21.118,3.174
-0.052,-0.282,1.207,-11.353,-19.348,2.441
0.028,-0.228,1.261,-22.888,-14.099,3.662
0.106,-0.149,1.305,-39.612,-7.568,5.188
0.187,-0.068,1.298,-53.772,-0.122,4.944
0.248,0.004,1.248,-64.148,7.080,2.319
0.281,0.067,1.178,-74.158,11.047,-2.319
0.281,0.076,1.068,-80.627,12.939,-7.874
0.237,0.057,0.978,-84.290,13.123,-13.184
0.124,0.011,0.848,-87.402,11.658,-18.616
0.035,-0.103,0.775,-89.844,6.470,-22.522
-0.012,-0.204,0.803,-86.731,-3.479,-18.433
0.088,-0.191,0.785,-73.914,-15.137,-7.202
0.172,-0.269,0.945,-50.903,-29.968,-5.432
0.073,-0.191,0.998,-42.419,-39.673,-4.028
0.102,-0.120,1.181,-32.349,-58.472,10.681
0.148,-0.166,1.338,-20.630,-53.650,5.432
0.151,-0.166,1.356,-5.066,-38.696,0.977
0.161,-0.235,1.266,1.709,-21.667,-0.122
0.155,-0.244,1.178,-6.348,-9.033,5.127
0.102,-0.180,1.072,-20.996,-4.578,10.376
0.045,-0.078,0.919,-36.133,-1.099,9.521
-0.032,-0.015,0.819,-39.063,-3.723,5.188
-0.060,0.007,0.811,-23.132,-15.442,3.784
-0.067,0.005,0.882,3.418,-32.654,4.272
-0.045,-0.010,1.002,25.574,-46.936,2.930
-0.029,-0.020,1.138,34.119,-55.176,0.366
-0.007,-0.038,1.249,33.569,-56.152,-2.380
-0.015,-0.093,1.332,29.785,-51.575,-5.493
-0.024,-0.179,1.376,26.306,-43.030,-7.874
-0.037,-0.239,1.393,19.348,-34.180,-8.606
-0.039,-0.291,1.382,8.118,-22.461,-7.324
-0.031,-0.291,1.335,-9.888,-10.437,-4.883
-0.010,-0.225,1.240,-28.564,0.061,-1.770
0.010,-0.166,1.137,-35.706,7.080,0.732
0.017,-0.121,1.045,-34.241,10.132,1.587
0.008,-0.072,0.954,-33.813,10.742,0.977
-0.006,-0.013,0.882,-35.645,9.460,-1.343
-0.019,-0.010,0.853,-33.203,5.737,-4.883
-0.051,-0.044,0.848,-20.935,-0.366,-7.385
-0.043,-0.096,0.899,-10.254,-7.751,-7.935
-0.036,-0.140,0.962,-3.845,-14.343,-8.545
-0.046,-0.196,1.015,3.540,-18.127,-9.216
-0.044,-0.254,1.039,8.606,-18.311,-7.935
-0.048,-0.290,1.048,8.911,-17.151,-4.150
-0.042,-0.294,1.035,7.141,-14.465,1.221
-0.041,-0.264,0.980,1.953,-11.108,6.226

-0.078,-0.155,1.036,11.047,-5.310,-2.869
-0.073,-0.135,1.031,12.939,-3.540,-2.075
-0.073,-0.159,1.009,16.174,-1.831,-3.479
-0.080,-0.156,1.005,18.860,-1.709,-1.526
-0.094,-0.172,0.995,16.357,-1.282,0.183
-0.099,-0.167,0.979,7.080,-0.305,2.258
-0.102,-0.165,0.972,-0.488,-1.099,3.479
-0.106,-0.170,0.983,1.099,-3.662,4.700
-0.108,-0.174,0.994,5.371,-5.981,6.226
-0.107,-0.167,1.008,2.747,-7.202,7.751
-0.101,-0.161,1.019,-3.967,-8.118,8.850
-0.100,-0.163,1.019,-7.446,-8.667,9.460
-0.092,-0.149,1.022,-8.484,-9.277,9.583
-0.064,-0.117,1.037,-4.761,-10.559,9.888
-0.055,-0.099,1.057,-1.038,-11.353,9.216
-0.052,-0.130,1.054,-3.723,-10.010,6.470
-0.044,-0.155,1.042,-9.399,-8.728,4.333
-0.051,-0.180,1.018,-13.855,-8.545,3.418
-0.053,-0.187,0.990,-17.822,-9.521,3.174
-0.071,-0.164,0.957,-22.583,-12.390,5.798
-0.012,-0.113,0.945,-24.597,-19.714,6.409
-0.031,-0.120,0.974,-20.264,-28.381,-1.160
-0.021,-0.089,0.952,-17.395,-30.762,-4.700
-0.019,-0.072,0.935,-20.020,-31.982,-7.751
0.004,-0.023,0.938,-23.376,-36.072,-11.902
0.028,0.038,0.931,-26.733,-39.734,-18.311
-0.022,0.025,0.910,-33.813,-41.016,-28.503
-0.128,0.051,0.902,-48.950,-39.856,-38.086
-0.190,0.127,0.944,-62.683,-42.908,-45.898
-0.284,0.082,1.043,-59.998,-55.115,-58.777
-0.370,-0.075,1.243,-46.753,-68.115,-71.228
